,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
656,PLAY,0.6495726495726497,27,67,15,76,0.2872340425531915,0.7127659574468085,0.16483516483516483,0.8351648351648352
657,PHAT,0.625,3,10,2,10,0.23076923076923078,0.7692307692307693,0.16666666666666666,0.8333333333333334
658,PLD,0.6153846153846154,32,48,37,68,0.4,0.6,0.3523809523809524,0.6476190476190476
659,PGR,0.4228571428571429,47,39,62,37,0.5465116279069767,0.45348837209302323,0.6262626262626263,0.37373737373737376
660,PMT,0.5226130653266331,38,51,44,52,0.42696629213483145,0.5730337078651685,0.4583333333333333,0.5416666666666666
661,PLYA,0.0,109,0,76,0,1.0,0.0,1.0,0.0
662,PNM,0.5514018691588785,30,62,34,59,0.32608695652173914,0.6739130434782609,0.3655913978494624,0.6344086021505376
663,PNR,0.23943661971830987,60,25,83,17,0.7058823529411765,0.29411764705882354,0.83,0.17
664,PLXS,0.4268292682926829,56,28,66,35,0.6666666666666666,0.3333333333333333,0.6534653465346535,0.3465346534653465
665,PLUG,0.53125,44,54,36,51,0.4489795918367347,0.5510204081632653,0.41379310344827586,0.5862068965517241
666,PNRG,0.5378151260504201,36,23,32,32,0.6101694915254238,0.3898305084745763,0.5,0.5
667,POST,0.6346863468634686,0,99,0,86,0.0,1.0,0.0,1.0
668,PRNB,0.675,12,40,12,54,0.23076923076923078,0.7692307692307693,0.18181818181818182,0.8181818181818182
669,PTEN,0.5232558139534884,49,47,35,45,0.5104166666666666,0.4895833333333333,0.4375,0.5625
670,PRGO,0.5972850678733032,30,63,26,66,0.3225806451612903,0.6774193548387096,0.2826086956521739,0.717391304347826
671,PS,0.6126126126126126,0,86,0,68,0.0,1.0,0.0,1.0
672,PRTH,0.0,108,1,62,0,0.9908256880733946,0.009174311926605505,1.0,0.0
673,PSTG,0.5876777251184834,36,48,39,62,0.42857142857142855,0.5714285714285714,0.38613861386138615,0.6138613861386139
674,PTCT,0.0,80,0,105,0,1.0,0.0,1.0,0.0
675,PSXP,0.5454545454545454,57,34,46,48,0.6263736263736264,0.37362637362637363,0.48936170212765956,0.5106382978723404
676,PRPH,0.0,106,0,70,0,1.0,0.0,1.0,0.0
677,PROS,0.4285714285714286,14,13,11,9,0.5185185185185185,0.48148148148148145,0.55,0.45
678,PSTL,0.5609756097560975,4,32,4,23,0.1111111111111111,0.8888888888888888,0.14814814814814814,0.8518518518518519
679,PRT,0.0,98,0,72,0,1.0,0.0,1.0,0.0
680,PSMT,0.4528301886792453,62,34,53,36,0.6458333333333334,0.3541666666666667,0.5955056179775281,0.4044943820224719
681,PRA,0.5700483091787439,37,63,26,59,0.37,0.63,0.3058823529411765,0.6941176470588235
682,PRS,0.6101694915254238,0,69,0,54,0.0,1.0,0.0,1.0
683,PPL,0.3398692810457516,58,34,67,26,0.6304347826086957,0.3695652173913043,0.7204301075268817,0.27956989247311825
